leaf_size, snippet_size, build_or_not
2, 0, false
2, 0, false
0, 0, true
0, 0, true
0, 0, true
1, 0, false
2, 0, false
1, 0, false
1, 1, true
0, 0, true
1, 1, true
12, 13, false
12, 13, false
9, 0, false
0, 0, true
2, 1, false
0, 0, true
6, 0, false
0, 0, true
4, 0, false
2, 12, false
0, 0, true
0, 0, true
0, 0, true
2, 0, false
1, 0, false
1, 13, false
0, 0, true
0, 0, true
4, 6, false
1, 4, false
2, 0, false
0, 0, true
0, 0, true
1, 0, true
0, 0, true
1, 10, false
0, 0, true
2, 12, false
1, 0, true
1, 12, false
0, 0, true
0, 0, true
1, 13, false
4, 0, true
12, 22, false
11, 13, false
7, 27, false
16, 22, false
14, 22, false
5, 15, false
10, 17, false
6, 12, false
0, 0, true
0, 0, true
1, 2, false
4, 0, false
4, 0, false
5, 0, false
8, 149, false
12, 29, false
6, 34, false
2, 0, false
1, 0, false
0, 0, true
2, 1, true
2, 1, true
0, 0, true
6, 2, false
4, 1, false
6, 19, false
10, 3, false
6, 2, false
8, 2, false
1, 3, false
0, 0, true
0, 0, true
2, 0, false
1, 0, false
1, 0, true
2, 0, false
0, 0, true
1, 0, false
0, 0, true
1, 2, false
0, 0, true
0, 0, true
1, 0, true
1, 0, true
9, 21, false
5, 3, false
5, 10, false
1, 0, false
2, 0, false
1, 0, false
3, 1, false
3, 1, true
5, 1, false
0, 0, true
0, 0, true
1, 1, true
6, 1, false
1, 0, false
5, 1, false
4, 1, true
0, 0, true
2, 1, true
3, 3, false
2, 3, false
4, 3, false
7, 4, false
3, 4, false
8, 5, false
11, 14, false
9, 6, false
11, 25, false
6, 3, false
12, 3, false
6, 0, false
14, 29, false
16, 32, false
20, 35, false
3, 13, false
3, 13, false
2, 13, false
1, 0, false
1, 0, false
0, 0, true
3, 15, false
3, 17, false
3, 5, false
4, 6, false
3, 1, false
2, 2, false
2, 12, false
0, 0, true
0, 0, true
4, 15, false
1, 0, false
5, 15, false
4, 12, false
4, 12, false
3, 0, false
2, 1, true
2, 19, false
4, 18, false
3, 2, false
0, 0, true
3, 0, false
3, 2, true
2, 2, true
4, 2, true
1, 2, true
2, 2, true
1, 2, true
11, 3, false
17, 3, false
14, 2, true
2, 2, false
4, 2, false
4, 2, false
2, 3, true
4, 3, true
4, 3, true
2, 2, true
3, 2, false
7, 2, true
2, 2, true
1, 2, true
2, 2, true
0, 0, true
1, 0, true
0, 0, true
1, 0, false
3, 0, false
4, 0, false
11, 0, true
10, 0, true
9, 0, true
7, 7, true
6, 6, true
4, 4, true
17, 9, true
11, 9, true
13, 9, true
20, 2, false
17, 2, false
25, 1, true
5, 1, false
14, 1, false
12, 1, false
14, 0, true
14, 0, true
14, 0, true
64, 11, false
69, 16, false
60, 11, false
4, 2, true
4, 2, true
3, 2, true
17, 5, true
21, 5, true
19, 5, true

leaf_size, snippet_size, build_or_not
1, 0, false
0, 0, true
0, 0, true
66, 5, false
66, 5, false
63, 6, false
37, 61, false
24, 164, false
29, 63, false
0, 0, true
0, 0, true
1, 1, false
1, 0, true
1, 0, false
1, 0, false
0, 0, true
0, 0, true
1, 12, false
2, 0, false
2, 12, false
2, 12, false
1, 0, false
3, 12, false
0, 0, true
3, 10, false
0, 0, true
4, 10, false
1, 0, true
3, 12, false
0, 0, true
4, 3, true
2, 0, true
2, 0, true
5, 0, true
5, 0, true
3, 0, true
2, 2, false
7, 16, false
7, 16, false
6, 0, false
5, 0, false
1, 0, false
119, 72, false
103, 76, false
100, 79, false
1, 2, false
0, 0, true
0, 0, true
11, 16, false
7, 1, true
5, 0, true
9, 16, false
10, 16, false
8, 16, false
18, 13, false
18, 14, false
13, 13, false
4, 13, false
1, 0, true
1, 0, true
0, 0, true
2, 0, true
0, 0, true
17, 14, false
11, 22, false
7, 13, false
4, 22, false
1, 14, false
2, 22, false
6, 15, false
2, 2, false
5, 15, false
1, 10, false
3, 10, false
1, 1, true
0, 0, true
1, 13, false
0, 0, true
1, 0, false
1, 0, true
0, 0, true
1, 10, false
1, 10, false
1, 1, true
28, 50, false
27, 20, false
26, 50, false
0, 0, true
1, 10, false
0, 0, true
1, 1, false
1, 0, true
2, 1, false
1, 0, false
1, 0, false
1, 10, false
1, 0, true
1, 0, true
0, 0, true
0, 0, true
1, 3, true
0, 0, true
6, 21, false
14, 21, false
9, 18, false
4, 4, true
3, 4, true
4, 4, true
7, 4, false
11, 21, false
6, 4, true
2, 3, true
8, 21, false
9, 29, false
16, 22, false
18, 23, false
17, 21, false
0, 0, true
0, 0, true
0, 0, true
11, 18, false
13, 16, false
15, 18, false
13, 21, false
15, 23, false
11, 21, false
12, 1, false
10, 2, false
11, 1, false
32, 50, false
35, 50, false
30, 50, false
2, 0, true
5, 50, false
0, 0, true
19, 58, false
19, 58, false
14, 54, false
8, 15, false
4, 1, false
6, 62, false
6, 52, false
6, 25, false
10, 26, false
6, 23, false
5, 34, false
4, 21, false
37, 140, false
33, 140, false
36, 80, false
0, 0, true
