filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 57, 1, 8, -6, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 60, 1, 9, -9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 60, 1, 9, -9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 60, 1, 8, -9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 63, 1, 9, -12, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 63, 1, 9, -12, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 63, 1, 8, -12, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 66, 1, 9, -15, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 66, 1, 9, -15, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 66, 1, 8, -15, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 70, 1, 9, -19, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 70, 1, 9, -19, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 70, 1, 8, -19, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 73, 1, 9, -22, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 73, 1, 9, -22, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 73, 1, 8, -22, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 77, 1, 9, -26, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 77, 1, 9, -26, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 77, 1, 8, -26, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 80, 1, 9, -29, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 80, 1, 9, -29, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 80, 1, 8, -29, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 83, 1, 9, -32, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 83, 1, 9, -32, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 83, 1, 8, -32, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 90, 1, 9, -39, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 90, 1, 9, -39, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 92, 1, 8, -41, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 93, 1, 8, -42, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 97, 1, 9, -46, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 97, 1, 9, -46, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 97, 1, 8, -46, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 100, 1, 9, -49, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 101, 1, 9, -50, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 101, 1, 9, -50, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 102, 1, 9, -51, 10, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 102, 1, 9, -51, 10, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 106, 1, 9, -55, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 106, 1, 9, -55, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 106, 1, 8, -55, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 109, 1, 9, -58, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 110, 1, 9, -59, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 110, 1, 9, -59, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 119, 1, 9, -68, 10, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 119, 1, 9, -68, 10, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 124, 1, 9, -73, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 124, 1, 9, -73, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 124, 1, 8, -73, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 127, 1, 9, -76, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 127, 1, 9, -76, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 127, 1, 8, -76, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 130, 1, 9, -79, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 130, 1, 9, -79, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 130, 1, 8, -79, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 133, 1, 9, -82, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 133, 1, 9, -82, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 133, 1, 8, -82, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 136, 1, 9, -85, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 136, 1, 9, -85, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 136, 1, 8, -85, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 140, 1, 9, -89, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 140, 1, 9, -89, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 140, 1, 8, -89, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 146, 1, 9, -95, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 146, 1, 9, -95, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 146, 1, 8, -95, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 149, 1, 9, -98, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 150, 1, 9, -99, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 150, 1, 9, -99, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 154, 1, 9, -103, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 154, 1, 9, -103, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 158, 1, 9, -107, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 158, 1, 9, -107, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 158, 1, 8, -107, 8, false
