project name,exit status,compile success count,compile error count,build rate
./abrasive-shairport,0,52,52,.50
./alibaba-tengine,-1,9,47,.16
./allinurl-goaccess,0,48,82,.36
./antirez-disque,-1,1,98,.01
./antirez-redis,-1,5,154,.03
./arut-nginx-rtmp-module,0,6,197,.02
./awslabs-s2n,0,25,147,.14
./b4winckler-macvim,-1,0,13,0
./bagder-curl,-1,0,0,0
./Bilibili-ijkplayer,-1,0,11,0
./buaazp-zimg,0,80,22,.78
./cesanta-mongoose,0,38,58,.39
./cinder-Cinder,-1,0,0,0
./clibs-clib,0,131,14,.90
./cloudius-systems-osv,-1,0,2,0
./cloudwu-skynet,-1,17,31,.35
./contiki-os-contiki,-1,0,0,0
./coolwanglu-vim.js,-1,0,13,0
./DrKLO-Telegram,-1,12,0,1.00
./facebook-css-layout,0,1,16,.05
./facebook-watchman,0,67,109,.38
./fastos-fastsocket,-1,0,0,0
./FFmpeg-FFmpeg,-1,82,781,.09
./fogleman-Craft,-1,15,7,.68
./ggreer-the_silver_searcher,0,34,25,.57
./git-git,-1,99,811,.10
./google-ios-webkit-debug-proxy,0,40,61,.39
./grpc-grpc,-1,8,76,.09
./h2o-h2o,-1,235,361,.39
./haiwen-seafile,-1,55,455,.10
./helium_result,0,0,0,0
./imatix-zguide,0,1,195,0
./irungentoo-toxcore,0,75,379,.16
./jedisct1-libsodium,0,1,303,0
./jonas-tig,0,40,142,.21
./jorisvink-kore,0,7,78,.08
./joyent-http-parser,0,4,27,.12
./joyent-libuv,0,0,0,0
./julycoding-The-Art-Of-Programming-By-July,0,99,157,.38
./keendreams-keen,0,22,227,.08
./kivy-python-for-android,-1,0,0,0
./krakjoe-pthreads,0,0,24,0
./kr-beanstalkd,0,16,60,.21
./kripken-emscripten,-1,0,0,0
./laruence-php-yaf,0,19,41,.31
./laverdet-node-fibers,0,5,0,1.00
./libgit2-libgit2,-1,50,839,.05
./libgit2-rugged,0,4,43,.08
./libuv-libuv,-1,0,1,0
./linuxmint-Cinnamon,0,4,229,.01
./liuliu-ccv,-1,6,6,.50
./lpereira-lwan,0,65,52,.55
./matz-streem,0,35,45,.43
./memcached-memcached,0,47,28,.62
./micropython-micropython,-1,2,0,1.00
./mofarrell-p2pvc,0,73,49,.59
./mozilla-firefox-ios,-1,5,16,.23
./mozilla-mozjpeg,-1,4,41,.08
./mpv-player-mpv,-1,5,124,.03
./mruby-mruby,-1,33,179,.15
./msysgit-msysgit,-1,3,37,.07
./nanomsg-nanomsg,-1,9,100,.08
./nelhage-reptyr,0,3,14,.17
./nginx-nginx-releases,-1,50,120,.29
./nicolasff-webdis,0,115,46,.71
./nothings-stb,-1,35,277,.11
./numpy-numpy,-1,68,187,.26
./okamstudio-godot,-1,0,0,0
./OpenKinect-libfreenect,0,50,64,.43
./orangeduck-Cello,-1,0,2,0
./philipl-pifs,0,4,4,.50
./php-php-src,-1,0,0,0
./postgres-postgres,-1,1,15,.06
./probablycorey-wax,-1,13,119,.09
./raspberrypi-linux,-1,0,0,0
./redis-hiredis,0,46,19,.70
./robertdavidgraham-masscan,-1,27,44,.38
./rswier-c4,0,25,0,1.00
./rui314-8cc,0,37,129,.22
./SamyPesse-How-to-Make-a-Computer-Operating-System,0,1,110,0
./sdegutis-mjolnir,-1,2,91,.02
./shadowsocks-shadowsocks-android,-1,0,0,0
./SoftEtherVPN-SoftEtherVPN,-1,0,0,0
./stedolan-jq,-1,15,90,.14
./swoole-swoole-src,0,54,101,.34
./synergy-synergy,0,0,5,0
./tmux-tmux,-1,2,10,.16
./toland-qlmarkdown,0,0,0,0
./torch-torch7,0,8,227,.03
./torvalds-linux,-1,0,0,0
./twitter-twemproxy,0,34,103,.24
./vim-vim,-1,0,13,0
./visit1985-mdp,0,29,18,.61
./vmg-redcarpet,0,58,105,.35
./vysheng-tg,0,17,51,.25
./wg-wrk,-1,0,9,0
./WhisperSystems-RedPhone,-1,0,0,0
./wishstudio-flinux,-1,8,55,.12
./Xfennec-cv,0,9,10,.47
./yyuu-pyenv,0,1,0,1.00
./zfsonlinux-zfs,-1,0,4,0
